fips_code,incident_start_date,incidenttype,is_major_disaster,state
48313,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48315,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48331,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48343,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48351,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48355,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48365,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48391,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48395,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48401,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48403,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48405,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48409,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48457,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48459,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48469,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48477,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48479,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48489,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48015,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48037,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48039,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48071,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48157,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48167,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48201,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48239,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48241,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48245,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48291,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48321,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48339,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48347,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48361,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48373,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48407,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48419,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48455,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48471,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48473,2024-07-05 00:00:00+00:00,Hurricane,1,TX
48481,2024-07-05 00:00:00+00:00,Hurricane,1,TX
13111,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13113,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13123,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13133,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13143,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
