fips_code,incident_start_date,is_major_disaster,state,incident_year,area_name,data_year,medhhinc,povall,civilian_labor_force,employed,unemployed,unemployment_rate,med_hh_income_percent_of_state_total,total_population,total_population_norm,vulnerability_ratio,priority_index,type_Biological,type_Fire,type_Flood,type_Hurricane,type_Severe Storm,type_Straight-Line Winds,type_Tornado,type_Winter Storm
41067,2024-08-08 00:00:00+00:00,0,OR,2024,Washington County,2023.0,103486.0,48317.0,332643.0,321932.0,10711.0,3.2,130.5,598865.0,0.0619686728201188,0.4668940726281816,0.03100397964112022,False,True,False,False,False,False,False,False
41031,2024-08-04 00:00:00+00:00,0,OR,2024,Jefferson County,2023.0,68419.0,3390.0,10286.0,9814.0,472.0,4.6,86.7,25454.0,0.0026296394338084,0.049547640275362105,0.003231984043686123,False,True,False,False,False,False,False,False
41017,2024-08-02 00:00:00+00:00,0,OR,2024,Deschutes County,2023.0,95414.0,17944.0,104662.0,100812.0,3850.0,3.7,111.4,208513.0,0.0215733710899235,0.18806464460142117,0.012449490978215173,False,True,False,False,False,False,False,False
6000,2017-02-08 00:00:00+00:00,1,CA,2017,,,65813.0,5775.5,19564.0,18492.0,747.0,3.9,,43712.0,0.0045190557016638,0.08775621837630863,0.005774544325851514,False,False,False,False,True,False,False,False
1001,2015-12-23 00:00:00+00:00,1,AL,2015,Autauga County,2023.0,68857.0,7004.0,27000.0,26409.0,591.0,2.2,117.5,60342.0,0.0062399995363903,0.10171805335695717,0.006703623837634366,False,False,False,False,True,False,False,False
1005,2015-12-23 00:00:00+00:00,1,AL,2015,Barbour County,2023.0,45298.0,5585.0,7944.0,7592.0,352.0,4.4,68.9,24585.0,0.0025397115809896,0.12329462669433529,0.0081394202247155,False,False,False,False,True,False,False,False
1009,2015-12-23 00:00:00+00:00,1,AL,2015,Blount County,2023.0,64962.0,7590.0,25836.0,25282.0,554.0,2.1,101.4,59816.0,0.0061855667969395,0.11683753579015424,0.007709738103911966,False,False,False,False,True,False,False,False
1011,2015-12-23 00:00:00+00:00,1,AL,2015,Bullock County,2023.0,36204.0,2779.0,4500.0,4393.0,107.0,2.4,60.0,9897.0,0.0010197342481896,0.07675947409126063,0.005042774481435355,False,False,False,False,True,False,False,False
1013,2015-12-23 00:00:00+00:00,1,AL,2015,Butler County,2023.0,44729.0,4263.0,9009.0,8746.0,263.0,2.9,70.1,18382.0,0.0018977984957936,0.09530729504348409,0.006277024883249448,False,False,False,False,True,False,False,False
41001,2024-07-21 00:00:00+00:00,0,OR,2024,Baker County,2023.0,59123.0,2677.0,7083.0,6775.0,308.0,4.3,71.9,16912.0,0.001745676581359,0.045278487221555065,0.0029478965551536468,False,True,False,False,False,False,False,False
41045,2024-07-21 00:00:00+00:00,0,OR,2024,Malheur County,2023.0,53762.0,5686.0,12844.0,12374.0,470.0,3.7,65.3,32044.0,0.0033116009413759,0.1057624344332428,0.00697275404874396,False,True,False,False,False,False,False,False
